5

1 5 10
0 10 3 8
2 3 1 5
3 7 1 7
4 7 1 1
4 5 1 4

2 30 60
2 3 6 9
3 9 3 11
4 3 6 20
5 5 4 8
5 6 4 8
6 5 6 14
8 1 5 10
9 9 2 5
14 9 2 15
14 1 2 20
17 10 6 12
18 2 4 20
19 7 6 9
19 3 6 15
19 3 5 18
22 4 5 9
24 9 5 18
25 8 2 4
29 7 2 13
31 9 2 18
36 8 2 19
37 7 3 7
37 1 5 17
37 1 4 19
43 8 4 14
44 9 6 14
47 7 6 8
52 7 6 6
53 7 5 6
58 9 2 2

3 100 200
0 13 10 16
1 92 3 13
10 19 7 11
10 40 3 28
14 45 7 17
16 61 6 23
17 82 9 25
18 4 10 13
18 72 3 26
22 62 10 25
22 62 6 30
26 48 8 22
33 84 8 21
33 38 8 27
34 25 10 12
36 38 3 26
38 99 10 15
39 15 10 27
41 32 7 13
45 44 4 29
46 27 7 26
49 27 6 9
49 42 7 9
52 36 4 22
53 26 10 30
56 37 3 4
58 60 3 8
58 50 8 15
58 11 4 25
59 19 7 8
62 80 6 15
67 18 5 11
73 87 6 11
73 66 10 23
74 51 7 13
74 76 6 19
77 34 3 10
77 2 10 16
77 47 10 29
80 58 4 7
81 7 10 19
82 21 8 13
83 37 5 20
87 84 8 21
89 27 8 18
91 94 10 22
92 71 4 20
97 51 7 20
99 42 3 17
99 40 9 18
102 33 8 13
103 30 7 28
104 80 10 25
107 17 4 28
108 5 3 5
108 50 4 7
109 18 7 18
110 7 4 9
111 18 10 17
112 21 8 20
116 56 4 13
119 64 9 30
124 11 10 11
124 29 7 12
125 52 7 9
127 79 10 30
131 58 7 11
131 21 8 20
138 40 9 16
138 1 10 20
139 32 3 13
139 42 5 19
139 83 5 29
140 14 6 24
144 84 5 19
144 7 3 23
145 77 6 7
145 41 9 19
147 68 6 17
147 59 7 17
147 11 10 25
153 48 6 18
156 69 3 13
157 87 10 26
157 62 5 30
162 10 4 13
162 16 5 26
163 70 9 30
165 78 8 28
166 79 9 23
169 77 6 19
171 83 8 11
171 58 10 18
172 63 6 8
174 67 8 21
175 78 5 20
176 11 10 23
178 28 4 6
183 42 3 8
186 57 3 5

4 2000 4000
0 214 17 68
0 731 13 132
1 55 16 115
1 932 13 132
2 779 19 53
3 805 15 153
4 836 20 149
5 544 19 114
5 783 13 140
6 127 14 55
11 846 6 200
16 237 20 63
20 640 17 88
20 220 17 102
24 914 16 183
25 667 12 59
31 417 14 118
33 336 16 44
34 116 11 184
37 889 14 71
38 653 18 74
39 279 10 79
40 459 10 129
41 817 14 28
45 200 12 16
45 96 16 49
46 444 20 136
50 302 16 32
51 808 18 109
51 630 19 157
52 467 15 58
53 768 7 139
54 846 14 32
54 190 7 96
56 880 15 141
59 980 9 52
61 514 13 194
62 574 12 101
64 685 13 189
65 490 17 31
65 630 14 121
67 408 13 46
72 758 15 38
74 451 18 43
78 18 20 111
78 480 14 156
79 437 13 74
82 866 20 43
82 645 6 98
82 827 13 198
84 302 8 109
86 371 10 145
86 932 7 172
90 395 13 162
93 250 6 107
95 486 16 95
96 37 7 52
101 612 18 179
104 268 6 187
110 679 8 84
112 790 15 123
114 600 16 124
115 408 7 26
116 426 18 30
118 865 12 162
121 418 19 20
121 614 18 52
122 217 18 30
123 459 19 21
125 665 16 143
126 434 13 196
127 845 16 83
127 916 9 190
129 589 14 40
130 782 16 150
130 162 18 185
135 905 19 83
137 20 18 200
138 155 18 40
142 554 13 87
145 346 12 137
148 589 7 160
148 239 19 171
149 581 16 87
155 504 9 38
155 471 18 157
156 765 19 60
156 13 12 88
158 917 10 189
160 171 9 44
160 838 20 86
160 598 16 131
163 600 15 47
164 974 17 78
165 777 11 138
167 476 10 14
168 429 6 180
171 834 18 40
171 641 7 59
171 460 16 100
175 610 10 17
175 490 16 39
178 762 13 47
179 593 10 26
181 52 13 199
187 438 16 80
191 608 11 107
193 303 8 150
194 240 10 140
194 77 17 173
196 204 7 110
196 842 20 177
203 478 11 74
209 422 6 93
210 40 18 41
216 472 9 9
217 560 15 197
220 803 13 163
221 268 12 60
225 634 18 42
225 727 12 46
225 249 10 94
226 392 7 112
230 784 17 132
234 131 10 24
235 507 20 76
235 185 20 104
236 773 18 191
237 701 8 8
237 609 8 67
238 469 6 150
246 970 6 41
246 249 6 46
247 86 17 77
247 503 9 80
253 495 20 27
254 383 20 92
254 510 20 188
257 33 10 96
263 400 19 110
264 351 6 100
266 303 11 186
268 340 14 137
268 126 8 161
269 913 20 76
271 736 12 38
274 983 15 36
274 583 16 122
276 72 8 196
280 530 8 51
281 234 15 116
281 119 16 124
282 835 13 29
282 916 7 106
283 620 17 132
283 222 17 189
285 761 15 181
286 948 6 165
287 392 16 26
288 767 20 195
289 610 13 113
290 300 15 63
293 973 7 129
295 926 15 34
299 124 10 196
304 253 11 89
305 974 8 23
311 118 15 197
313 178 14 95
313 815 8 110
314 540 20 39
315 654 15 33
316 185 11 86
316 842 17 105
322 184 12 16
322 604 8 96
322 26 17 182
324 964 18 19
327 293 15 181
334 495 16 145
335 206 11 124
336 107 18 43
336 262 17 106
337 143 16 161
338 566 12 81
338 252 14 144
339 65 17 142
341 507 12 32
341 325 16 108
344 940 20 171
346 764 9 153
347 93 19 182
348 810 10 99
349 895 7 61
351 328 8 189
352 404 18 56
353 853 14 23
353 129 13 84
357 313 11 175
358 238 20 24
358 661 7 31
358 663 8 137
360 419 13 58
365 34 9 120
365 451 16 129
366 172 14 39
369 233 17 52
370 234 19 127
372 889 10 10
372 534 20 91
374 342 11 126
377 276 17 188
383 513 18 28
383 737 19 83
385 887 9 162
385 770 20 173
394 123 13 138
402 232 8 26
402 874 19 114
403 244 15 29
405 365 14 141
406 13 12 32
410 450 6 40
412 132 10 98
412 407 13 191
415 547 10 90
415 778 17 97
417 181 8 153
417 721 12 166
420 320 20 101
423 752 19 134
424 790 11 152
425 614 15 167
426 578 15 32
426 54 15 82
427 705 16 144
428 138 7 144
430 625 11 83
432 265 9 68
435 662 20 169
437 67 8 192
438 986 6 128
